epoch:0, self loss:3866912.9033, cross loss:2896370.1675, G loss:626.1688, D loss:324.5845, reg loss:157287.9578
test: movie: hr:0.1909,ndcg:0.1042,mrr:0.0780, book: hr:0.2019,ndcg:0.1196,mrr:0.0947
epoch:1, self loss:172354.6334, cross loss:137712.9382, G loss:1557.8238, D loss:78.0527, reg loss:78813.6011
test: movie: hr:0.2294,ndcg:0.1253,mrr:0.0939, book: hr:0.2539,ndcg:0.1510,mrr:0.1194
epoch:2, self loss:71170.8233, cross loss:64498.6175, G loss:2160.4003, D loss:39.9261, reg loss:15077.9899
test: movie: hr:0.2511,ndcg:0.1361,mrr:0.1014, book: hr:0.2798,ndcg:0.1657,mrr:0.1309
epoch:3, self loss:62065.6578, cross loss:59283.7724, G loss:2436.5708, D loss:29.2952, reg loss:6660.7759
test: movie: hr:0.2585,ndcg:0.1389,mrr:0.1028, book: hr:0.2870,ndcg:0.1686,mrr:0.1324
epoch:4, self loss:56949.7263, cross loss:56028.3435, G loss:2585.5984, D loss:25.6996, reg loss:4879.7086
test: movie: hr:0.2613,ndcg:0.1403,mrr:0.1038, book: hr:0.2892,ndcg:0.1700,mrr:0.1335
epoch:5, self loss:53822.2005, cross loss:53998.7198, G loss:2716.0567, D loss:20.8053, reg loss:4389.8978
test: movie: hr:0.2616,ndcg:0.1406,mrr:0.1041, book: hr:0.2905,ndcg:0.1696,mrr:0.1327
epoch:6, self loss:51889.5118, cross loss:52289.5319, G loss:2820.9053, D loss:18.2204, reg loss:4025.4527
test: movie: hr:0.2660,ndcg:0.1425,mrr:0.1052, book: hr:0.2924,ndcg:0.1711,mrr:0.1341
epoch:7, self loss:50996.5551, cross loss:51577.9023, G loss:2944.4748, D loss:16.2892, reg loss:3767.3339
test: movie: hr:0.2663,ndcg:0.1430,mrr:0.1058, book: hr:0.2930,ndcg:0.1712,mrr:0.1339
epoch:8, self loss:50631.7416, cross loss:51124.7188, G loss:2986.2261, D loss:15.7715, reg loss:3512.8436
test: movie: hr:0.2646,ndcg:0.1418,mrr:0.1047, book: hr:0.2935,ndcg:0.1716,mrr:0.1344
epoch:9, self loss:50300.5794, cross loss:50846.5252, G loss:2999.1952, D loss:13.6469, reg loss:3325.9929
test: movie: hr:0.2639,ndcg:0.1412,mrr:0.1041, book: hr:0.2941,ndcg:0.1724,mrr:0.1352
