epoch:0, self loss:3505691.6184, cross loss:2675627.2899, G loss:1000.5563, D loss:219.2695, reg loss:323687.0094
test: movie: hr:0.3856,ndcg:0.2167,mrr:0.1653, book: hr:0.2214,ndcg:0.1390,mrr:0.1138
epoch:1, self loss:98639.9161, cross loss:89497.2653, G loss:2102.7495, D loss:43.9253, reg loss:22831.4287
test: movie: hr:0.4228,ndcg:0.2401,mrr:0.1844, book: hr:0.2817,ndcg:0.1731,mrr:0.1397
epoch:2, self loss:81749.5923, cross loss:77447.7576, G loss:2479.9211, D loss:28.2637, reg loss:13914.6817
test: movie: hr:0.4179,ndcg:0.2375,mrr:0.1825, book: hr:0.2907,ndcg:0.1765,mrr:0.1415
epoch:3, self loss:69705.9906, cross loss:69298.7868, G loss:2670.5842, D loss:20.6234, reg loss:12695.2243
test: movie: hr:0.4191,ndcg:0.2382,mrr:0.1831, book: hr:0.2961,ndcg:0.1797,mrr:0.1440
epoch:4, self loss:66701.7435, cross loss:67907.1295, G loss:2832.5797, D loss:16.1631, reg loss:11065.3696
test: movie: hr:0.4226,ndcg:0.2414,mrr:0.1861, book: hr:0.3007,ndcg:0.1822,mrr:0.1459
epoch:5, self loss:64719.5843, cross loss:65912.7597, G loss:2919.0548, D loss:13.9596, reg loss:9855.5481
test: movie: hr:0.4232,ndcg:0.2412,mrr:0.1857, book: hr:0.3047,ndcg:0.1835,mrr:0.1464
epoch:6, self loss:64622.1531, cross loss:65854.3108, G loss:3019.3212, D loss:11.6696, reg loss:8961.0129
test: movie: hr:0.4266,ndcg:0.2424,mrr:0.1863, book: hr:0.3078,ndcg:0.1853,mrr:0.1478
epoch:7, self loss:62559.1370, cross loss:63635.1107, G loss:3086.6091, D loss:10.6019, reg loss:8278.3390
test: movie: hr:0.4268,ndcg:0.2444,mrr:0.1888, book: hr:0.3097,ndcg:0.1867,mrr:0.1490
epoch:8, self loss:62405.2919, cross loss:63466.4640, G loss:3088.5098, D loss:10.1629, reg loss:7692.8541
test: movie: hr:0.4306,ndcg:0.2461,mrr:0.1898, book: hr:0.3104,ndcg:0.1872,mrr:0.1494
epoch:9, self loss:63409.5683, cross loss:64411.9963, G loss:3137.1139, D loss:9.0163, reg loss:7257.8822
test: movie: hr:0.4290,ndcg:0.2462,mrr:0.1905, book: hr:0.3094,ndcg:0.1871,mrr:0.1496
epoch:10, self loss:62727.8074, cross loss:63733.4891, G loss:3145.9747, D loss:8.9107, reg loss:6809.4318
test: movie: hr:0.4336,ndcg:0.2491,mrr:0.1928, book: hr:0.3122,ndcg:0.1881,mrr:0.1501
epoch:11, self loss:62739.4820, cross loss:63584.5947, G loss:3144.2006, D loss:8.3249, reg loss:6430.9315
test: movie: hr:0.4345,ndcg:0.2511,mrr:0.1951, book: hr:0.3120,ndcg:0.1882,mrr:0.1502
epoch:12, self loss:61501.1778, cross loss:62276.2667, G loss:3134.2409, D loss:7.9469, reg loss:6081.3306
test: movie: hr:0.4373,ndcg:0.2536,mrr:0.1975, book: hr:0.3145,ndcg:0.1906,mrr:0.1526
epoch:13, self loss:61963.2367, cross loss:62642.2497, G loss:3158.8764, D loss:7.2663, reg loss:5737.5014
test: movie: hr:0.4396,ndcg:0.2549,mrr:0.1983, book: hr:0.3193,ndcg:0.1917,mrr:0.1527
epoch:14, self loss:61534.9259, cross loss:62176.6245, G loss:3151.4424, D loss:7.1344, reg loss:5466.9652
test: movie: hr:0.4440,ndcg:0.2583,mrr:0.2015, book: hr:0.3175,ndcg:0.1922,mrr:0.1538
epoch:15, self loss:61998.4470, cross loss:62628.5329, G loss:3134.6224, D loss:7.1534, reg loss:5234.4358
test: movie: hr:0.4457,ndcg:0.2600,mrr:0.2032, book: hr:0.3207,ndcg:0.1932,mrr:0.1542
epoch:16, self loss:61561.9409, cross loss:62326.7887, G loss:3144.7966, D loss:6.5123, reg loss:4984.9481
test: movie: hr:0.4487,ndcg:0.2627,mrr:0.2058, book: hr:0.3211,ndcg:0.1939,mrr:0.1549
epoch:17, self loss:61101.4256, cross loss:61973.1350, G loss:3162.4242, D loss:6.4086, reg loss:4803.3763
test: movie: hr:0.4515,ndcg:0.2648,mrr:0.2076, book: hr:0.3240,ndcg:0.1966,mrr:0.1576
epoch:18, self loss:60956.8385, cross loss:61707.5806, G loss:3175.6937, D loss:5.9125, reg loss:4571.1045
test: movie: hr:0.4520,ndcg:0.2647,mrr:0.2074, book: hr:0.3243,ndcg:0.1966,mrr:0.1574
epoch:19, self loss:61165.8058, cross loss:61619.7067, G loss:3160.6189, D loss:6.1937, reg loss:4405.7100
test: movie: hr:0.4555,ndcg:0.2677,mrr:0.2101, book: hr:0.3262,ndcg:0.1978,mrr:0.1585
epoch:20, self loss:61315.0386, cross loss:61898.3180, G loss:3140.3122, D loss:5.7062, reg loss:4231.9635
test: movie: hr:0.4567,ndcg:0.2681,mrr:0.2103, book: hr:0.3275,ndcg:0.1991,mrr:0.1597
epoch:21, self loss:61465.0298, cross loss:62050.2409, G loss:3154.1551, D loss:5.4995, reg loss:4054.6286
test: movie: hr:0.4593,ndcg:0.2706,mrr:0.2128, book: hr:0.3309,ndcg:0.2016,mrr:0.1620
epoch:22, self loss:60572.4431, cross loss:61082.5350, G loss:3171.2843, D loss:5.3273, reg loss:3881.6579
test: movie: hr:0.4618,ndcg:0.2720,mrr:0.2140, book: hr:0.3328,ndcg:0.2022,mrr:0.1622
epoch:23, self loss:60698.1290, cross loss:61264.0794, G loss:3134.9911, D loss:5.2664, reg loss:3754.6245
test: movie: hr:0.4600,ndcg:0.2718,mrr:0.2141, book: hr:0.3346,ndcg:0.2023,mrr:0.1619
epoch:24, self loss:60984.9351, cross loss:61529.9279, G loss:3161.2391, D loss:5.1452, reg loss:3583.0483
test: movie: hr:0.4640,ndcg:0.2744,mrr:0.2162, book: hr:0.3359,ndcg:0.2039,mrr:0.1635
epoch:25, self loss:60528.1167, cross loss:61054.2287, G loss:3132.6696, D loss:5.4889, reg loss:3446.3268
test: movie: hr:0.4632,ndcg:0.2742,mrr:0.2162, book: hr:0.3389,ndcg:0.2054,mrr:0.1645
epoch:26, self loss:59967.9551, cross loss:60551.5239, G loss:3122.1941, D loss:4.9326, reg loss:3326.1443
test: movie: hr:0.4630,ndcg:0.2736,mrr:0.2155, book: hr:0.3413,ndcg:0.2073,mrr:0.1662
epoch:27, self loss:59341.3428, cross loss:59914.6571, G loss:3124.5424, D loss:4.6027, reg loss:3192.9916
test: movie: hr:0.4648,ndcg:0.2739,mrr:0.2154, book: hr:0.3448,ndcg:0.2079,mrr:0.1660
epoch:28, self loss:59804.4069, cross loss:60347.5239, G loss:3128.2270, D loss:4.4263, reg loss:3066.0037
test: movie: hr:0.4649,ndcg:0.2742,mrr:0.2157, book: hr:0.3480,ndcg:0.2102,mrr:0.1680
epoch:29, self loss:59829.4879, cross loss:60386.1175, G loss:3137.4465, D loss:4.3969, reg loss:2940.8574
test: movie: hr:0.4687,ndcg:0.2762,mrr:0.2173, book: hr:0.3510,ndcg:0.2128,mrr:0.1705
epoch:30, self loss:59397.4643, cross loss:60160.4162, G loss:3113.1290, D loss:4.5781, reg loss:2888.8510
test: movie: hr:0.4660,ndcg:0.2756,mrr:0.2173, book: hr:0.3569,ndcg:0.2146,mrr:0.1711
epoch:31, self loss:59482.7150, cross loss:60125.9591, G loss:3084.6926, D loss:4.8641, reg loss:2737.5970
test: movie: hr:0.4675,ndcg:0.2755,mrr:0.2167, book: hr:0.3595,ndcg:0.2166,mrr:0.1729
epoch:32, self loss:59339.7230, cross loss:59988.5645, G loss:3118.1019, D loss:4.3479, reg loss:2631.6970
test: movie: hr:0.4679,ndcg:0.2765,mrr:0.2177, book: hr:0.3666,ndcg:0.2210,mrr:0.1764
epoch:33, self loss:60031.0392, cross loss:60527.6136, G loss:3128.0996, D loss:4.1002, reg loss:2554.7380
test: movie: hr:0.4694,ndcg:0.2774,mrr:0.2187, book: hr:0.3695,ndcg:0.2221,mrr:0.1770
epoch:34, self loss:59229.0529, cross loss:59777.5889, G loss:3105.3114, D loss:4.1746, reg loss:2462.0864
