epoch:0, self loss:3236236.9531, cross loss:2577579.9993, G loss:840.1389, D loss:281.0779, reg loss:119934.1925
test: movie: hr:0.2982,ndcg:0.1646,mrr:0.1240, book: hr:0.1901,ndcg:0.1049,mrr:0.0791
epoch:1, self loss:173255.0711, cross loss:126534.5724, G loss:1948.8110, D loss:53.7960, reg loss:35410.6412
test: movie: hr:0.3247,ndcg:0.1760,mrr:0.1306, book: hr:0.2267,ndcg:0.1208,mrr:0.0889
epoch:2, self loss:92147.6503, cross loss:85748.8739, G loss:2557.8675, D loss:27.4347, reg loss:11723.7881
test: movie: hr:0.3418,ndcg:0.1891,mrr:0.1426, book: hr:0.2519,ndcg:0.1367,mrr:0.1018
epoch:3, self loss:82284.3897, cross loss:75506.4382, G loss:2771.9164, D loss:19.8160, reg loss:5958.5653
test: movie: hr:0.3407,ndcg:0.1880,mrr:0.1415, book: hr:0.2536,ndcg:0.1369,mrr:0.1016
epoch:4, self loss:72692.2458, cross loss:71539.9423, G loss:2990.3533, D loss:15.2013, reg loss:4530.0916
test: movie: hr:0.3423,ndcg:0.1892,mrr:0.1426, book: hr:0.2552,ndcg:0.1381,mrr:0.1027
epoch:5, self loss:69366.6483, cross loss:68963.5687, G loss:3182.6255, D loss:12.0796, reg loss:3752.8994
test: movie: hr:0.3444,ndcg:0.1902,mrr:0.1433, book: hr:0.2614,ndcg:0.1403,mrr:0.1037
epoch:6, self loss:68815.0243, cross loss:69332.6180, G loss:3318.9982, D loss:10.3855, reg loss:3374.8383
test: movie: hr:0.3442,ndcg:0.1909,mrr:0.1443, book: hr:0.2603,ndcg:0.1407,mrr:0.1045
epoch:7, self loss:67239.1689, cross loss:67742.1562, G loss:3416.4218, D loss:9.2531, reg loss:3156.4033
test: movie: hr:0.3473,ndcg:0.1919,mrr:0.1446, book: hr:0.2644,ndcg:0.1423,mrr:0.1054
epoch:8, self loss:66339.8007, cross loss:66801.8515, G loss:3503.8599, D loss:7.9804, reg loss:2931.8843
test: movie: hr:0.3480,ndcg:0.1927,mrr:0.1454, book: hr:0.2654,ndcg:0.1429,mrr:0.1058
