epoch:0, self loss:3077412.9785, cross loss:2370596.8643, G loss:1078.0669, D loss:200.6601, reg loss:340200.9285
test: movie: hr:0.3859,ndcg:0.2180,mrr:0.1669, book: hr:0.2317,ndcg:0.1436,mrr:0.1167
epoch:1, self loss:93109.8716, cross loss:85279.0024, G loss:2269.8916, D loss:30.7929, reg loss:24961.0189
test: movie: hr:0.4199,ndcg:0.2378,mrr:0.1823, book: hr:0.2872,ndcg:0.1758,mrr:0.1417
epoch:2, self loss:78261.4232, cross loss:76082.9354, G loss:2657.0831, D loss:18.1236, reg loss:16792.4577
test: movie: hr:0.4207,ndcg:0.2382,mrr:0.1827, book: hr:0.2918,ndcg:0.1771,mrr:0.1420
epoch:3, self loss:70468.5018, cross loss:70584.4448, G loss:2872.8697, D loss:13.0443, reg loss:14771.5157
test: movie: hr:0.4232,ndcg:0.2396,mrr:0.1837, book: hr:0.2965,ndcg:0.1793,mrr:0.1434
epoch:4, self loss:66863.6052, cross loss:68011.5430, G loss:3002.7253, D loss:11.1782, reg loss:12669.1113
test: movie: hr:0.4224,ndcg:0.2413,mrr:0.1861, book: hr:0.3017,ndcg:0.1820,mrr:0.1453
epoch:5, self loss:63874.8603, cross loss:65261.0771, G loss:3113.9102, D loss:9.5932, reg loss:11197.6903
test: movie: hr:0.4223,ndcg:0.2406,mrr:0.1851, book: hr:0.3067,ndcg:0.1842,mrr:0.1467
epoch:6, self loss:63519.3491, cross loss:64745.7064, G loss:3215.8292, D loss:7.9523, reg loss:10172.9719
test: movie: hr:0.4264,ndcg:0.2426,mrr:0.1865, book: hr:0.3071,ndcg:0.1848,mrr:0.1474
epoch:7, self loss:63325.4427, cross loss:64527.9019, G loss:3262.0915, D loss:7.7933, reg loss:9517.9455
test: movie: hr:0.4254,ndcg:0.2420,mrr:0.1861, book: hr:0.3089,ndcg:0.1853,mrr:0.1475
epoch:8, self loss:62935.6236, cross loss:64063.5714, G loss:3306.4684, D loss:7.6949, reg loss:8854.6647
test: movie: hr:0.4269,ndcg:0.2431,mrr:0.1872, book: hr:0.3110,ndcg:0.1861,mrr:0.1479
epoch:9, self loss:62386.7846, cross loss:63367.0804, G loss:3309.3222, D loss:7.4042, reg loss:8311.0223
test: movie: hr:0.4277,ndcg:0.2443,mrr:0.1885, book: hr:0.3144,ndcg:0.1882,mrr:0.1497
epoch:10, self loss:62904.2124, cross loss:64057.9161, G loss:3288.6443, D loss:6.8956, reg loss:7806.7166
test: movie: hr:0.4263,ndcg:0.2426,mrr:0.1866, book: hr:0.3101,ndcg:0.1866,mrr:0.1488
epoch:11, self loss:62437.2890, cross loss:63322.6729, G loss:3282.6189, D loss:7.1472, reg loss:7343.6052
test: movie: hr:0.4291,ndcg:0.2437,mrr:0.1872, book: hr:0.3162,ndcg:0.1903,mrr:0.1518
epoch:12, self loss:62237.6215, cross loss:63093.3064, G loss:3272.1402, D loss:6.7605, reg loss:6862.8275
test: movie: hr:0.4284,ndcg:0.2463,mrr:0.1908, book: hr:0.3172,ndcg:0.1905,mrr:0.1518
epoch:13, self loss:61275.6792, cross loss:62037.1036, G loss:3273.8002, D loss:6.3398, reg loss:6476.8347
test: movie: hr:0.4288,ndcg:0.2456,mrr:0.1897, book: hr:0.3200,ndcg:0.1916,mrr:0.1523
epoch:14, self loss:62566.9908, cross loss:63342.7796, G loss:3284.7643, D loss:6.2738, reg loss:6156.8056
test: movie: hr:0.4294,ndcg:0.2455,mrr:0.1893, book: hr:0.3199,ndcg:0.1916,mrr:0.1523
epoch:15, self loss:62371.3174, cross loss:63158.6497, G loss:3290.9277, D loss:6.0366, reg loss:5851.0005
test: movie: hr:0.4337,ndcg:0.2486,mrr:0.1921, book: hr:0.3190,ndcg:0.1919,mrr:0.1530
epoch:16, self loss:62018.8299, cross loss:62716.7146, G loss:3254.2717, D loss:6.2753, reg loss:5559.6021
test: movie: hr:0.4337,ndcg:0.2509,mrr:0.1951, book: hr:0.3214,ndcg:0.1933,mrr:0.1542
epoch:17, self loss:62187.9271, cross loss:63128.2608, G loss:3217.0444, D loss:6.1009, reg loss:5319.7478
test: movie: hr:0.4382,ndcg:0.2546,mrr:0.1985, book: hr:0.3230,ndcg:0.1938,mrr:0.1543
epoch:18, self loss:60592.5055, cross loss:61402.1904, G loss:3205.1854, D loss:6.0170, reg loss:5027.2617
test: movie: hr:0.4412,ndcg:0.2567,mrr:0.2003, book: hr:0.3278,ndcg:0.1977,mrr:0.1579
epoch:19, self loss:60911.7571, cross loss:61617.1789, G loss:3220.5027, D loss:5.7537, reg loss:4809.5790
test: movie: hr:0.4463,ndcg:0.2620,mrr:0.2056, book: hr:0.3301,ndcg:0.1987,mrr:0.1585
epoch:20, self loss:60862.2892, cross loss:61635.4902, G loss:3240.8418, D loss:5.3343, reg loss:4629.4394
test: movie: hr:0.4503,ndcg:0.2640,mrr:0.2071, book: hr:0.3307,ndcg:0.1990,mrr:0.1587
epoch:21, self loss:61343.5193, cross loss:61962.0015, G loss:3271.7485, D loss:5.2685, reg loss:4436.8180
test: movie: hr:0.4537,ndcg:0.2677,mrr:0.2107, book: hr:0.3363,ndcg:0.2030,mrr:0.1623
epoch:22, self loss:60181.7606, cross loss:60762.9972, G loss:3274.5736, D loss:5.0207, reg loss:4235.2211
test: movie: hr:0.4558,ndcg:0.2665,mrr:0.2086, book: hr:0.3389,ndcg:0.2043,mrr:0.1630
epoch:23, self loss:60125.4491, cross loss:60666.4211, G loss:3258.9232, D loss:5.1096, reg loss:4032.0270
