epoch:0, self loss:3632410.1756, cross loss:2896795.0089, G loss:780.8024, D loss:298.3057, reg loss:98010.2022
test: movie: hr:0.3068,ndcg:0.1690,mrr:0.1272, book: hr:0.1965,ndcg:0.1074,mrr:0.0805
epoch:1, self loss:221338.9115, cross loss:160910.9496, G loss:1833.3747, D loss:67.4994, reg loss:43165.8963
test: movie: hr:0.3242,ndcg:0.1726,mrr:0.1267, book: hr:0.2333,ndcg:0.1249,mrr:0.0920
epoch:2, self loss:94967.5353, cross loss:87507.1031, G loss:2388.3270, D loss:34.0462, reg loss:15856.4202
test: movie: hr:0.3389,ndcg:0.1880,mrr:0.1420, book: hr:0.2525,ndcg:0.1362,mrr:0.1011
epoch:3, self loss:83589.0445, cross loss:78050.2137, G loss:2675.0117, D loss:23.4987, reg loss:8092.9162
test: movie: hr:0.3455,ndcg:0.1902,mrr:0.1431, book: hr:0.2582,ndcg:0.1391,mrr:0.1031
epoch:4, self loss:75863.5725, cross loss:72600.7108, G loss:2886.9189, D loss:18.4592, reg loss:5192.3579
test: movie: hr:0.3442,ndcg:0.1904,mrr:0.1436, book: hr:0.2620,ndcg:0.1410,mrr:0.1045
epoch:5, self loss:72923.4891, cross loss:71353.1988, G loss:3045.9457, D loss:14.7010, reg loss:3975.8031
test: movie: hr:0.3451,ndcg:0.1913,mrr:0.1445, book: hr:0.2619,ndcg:0.1413,mrr:0.1049
epoch:6, self loss:70259.6509, cross loss:69714.0758, G loss:3192.6706, D loss:12.2526, reg loss:3397.4645
test: movie: hr:0.3453,ndcg:0.1903,mrr:0.1431, book: hr:0.2632,ndcg:0.1413,mrr:0.1045
epoch:7, self loss:67927.0212, cross loss:67960.8621, G loss:3275.3892, D loss:11.9351, reg loss:3107.9023
test: movie: hr:0.3467,ndcg:0.1919,mrr:0.1448, book: hr:0.2640,ndcg:0.1421,mrr:0.1052
epoch:8, self loss:66758.6980, cross loss:67055.1239, G loss:3364.6052, D loss:10.4689, reg loss:2927.5212
test: movie: hr:0.3491,ndcg:0.1932,mrr:0.1458, book: hr:0.2632,ndcg:0.1422,mrr:0.1056
epoch:9, self loss:66989.8454, cross loss:67470.7889, G loss:3445.7371, D loss:8.8113, reg loss:2788.2496
test: movie: hr:0.3489,ndcg:0.1934,mrr:0.1461, book: hr:0.2650,ndcg:0.1421,mrr:0.1049
epoch:10, self loss:65074.9989, cross loss:65554.6857, G loss:3478.7491, D loss:9.6781, reg loss:2628.8323
test: movie: hr:0.3525,ndcg:0.1948,mrr:0.1468, book: hr:0.2659,ndcg:0.1431,mrr:0.1061
epoch:11, self loss:64229.3742, cross loss:64578.3062, G loss:3491.7440, D loss:8.4555, reg loss:2529.8823
test: movie: hr:0.3577,ndcg:0.1979,mrr:0.1493, book: hr:0.2644,ndcg:0.1428,mrr:0.1060
epoch:12, self loss:65811.4253, cross loss:66217.1174, G loss:3542.8410, D loss:7.8285, reg loss:2470.0254
test: movie: hr:0.3592,ndcg:0.1999,mrr:0.1515, book: hr:0.2683,ndcg:0.1456,mrr:0.1084
epoch:13, self loss:64417.3631, cross loss:64843.1325, G loss:3572.4111, D loss:8.1149, reg loss:2367.8168
test: movie: hr:0.3624,ndcg:0.2010,mrr:0.1520, book: hr:0.2752,ndcg:0.1480,mrr:0.1095
epoch:14, self loss:63488.0931, cross loss:63863.7754, G loss:3580.2571, D loss:7.5889, reg loss:2257.0312
test: movie: hr:0.3636,ndcg:0.2019,mrr:0.1527, book: hr:0.2729,ndcg:0.1486,mrr:0.1109
epoch:15, self loss:64377.3601, cross loss:64796.6259, G loss:3573.4286, D loss:7.4325, reg loss:2185.3421
test: movie: hr:0.3626,ndcg:0.2016,mrr:0.1526, book: hr:0.2761,ndcg:0.1500,mrr:0.1119
epoch:16, self loss:63573.9668, cross loss:63949.6184, G loss:3559.0490, D loss:7.2913, reg loss:2106.7614
test: movie: hr:0.3678,ndcg:0.2041,mrr:0.1544, book: hr:0.2804,ndcg:0.1518,mrr:0.1129
epoch:17, self loss:63562.8512, cross loss:63904.1815, G loss:3559.2940, D loss:6.9638, reg loss:2029.2267
test: movie: hr:0.3690,ndcg:0.2053,mrr:0.1555, book: hr:0.2839,ndcg:0.1544,mrr:0.1153
epoch:18, self loss:63595.8909, cross loss:63929.8640, G loss:3552.8144, D loss:6.6967, reg loss:1933.4314
test: movie: hr:0.3704,ndcg:0.2063,mrr:0.1564, book: hr:0.2812,ndcg:0.1548,mrr:0.1164
epoch:19, self loss:63108.5872, cross loss:63449.5439, G loss:3518.8701, D loss:7.3082, reg loss:1845.9014
test: movie: hr:0.3728,ndcg:0.2075,mrr:0.1573, book: hr:0.2860,ndcg:0.1570,mrr:0.1179
epoch:20, self loss:64253.1790, cross loss:64574.8384, G loss:3438.9830, D loss:7.5835, reg loss:1821.7779
test: movie: hr:0.3758,ndcg:0.2098,mrr:0.1594, book: hr:0.2902,ndcg:0.1585,mrr:0.1187
epoch:21, self loss:63137.4551, cross loss:63418.6997, G loss:3407.9093, D loss:7.5520, reg loss:1755.5382
test: movie: hr:0.3784,ndcg:0.2121,mrr:0.1615, book: hr:0.2946,ndcg:0.1614,mrr:0.1210
