epoch:0, self loss:3404549.7869, cross loss:2616051.7251, G loss:1043.8602, D loss:212.5673, reg loss:339497.6744
test: movie: hr:0.3809,ndcg:0.2136,mrr:0.1627, book: hr:0.2324,ndcg:0.1422,mrr:0.1148
epoch:1, self loss:93582.8845, cross loss:84726.2037, G loss:2219.5866, D loss:36.4486, reg loss:25502.3298
test: movie: hr:0.4217,ndcg:0.2392,mrr:0.1836, book: hr:0.2927,ndcg:0.1771,mrr:0.1417
epoch:2, self loss:76664.6213, cross loss:74230.7007, G loss:2641.9947, D loss:21.8706, reg loss:14743.5235
test: movie: hr:0.4198,ndcg:0.2375,mrr:0.1820, book: hr:0.2906,ndcg:0.1753,mrr:0.1400
epoch:3, self loss:69764.8010, cross loss:69850.0757, G loss:2838.9710, D loss:16.3201, reg loss:13171.8097
test: movie: hr:0.4200,ndcg:0.2381,mrr:0.1827, book: hr:0.2923,ndcg:0.1767,mrr:0.1413
epoch:4, self loss:65675.4426, cross loss:66931.1718, G loss:3016.2636, D loss:12.7111, reg loss:11360.3471
test: movie: hr:0.4220,ndcg:0.2387,mrr:0.1829, book: hr:0.3011,ndcg:0.1817,mrr:0.1451
epoch:5, self loss:63742.2272, cross loss:65235.6110, G loss:3108.1371, D loss:11.9660, reg loss:9920.3820
test: movie: hr:0.4236,ndcg:0.2423,mrr:0.1871, book: hr:0.3057,ndcg:0.1833,mrr:0.1458
epoch:6, self loss:63859.3745, cross loss:65147.0608, G loss:3171.0304, D loss:10.5039, reg loss:9025.9562
test: movie: hr:0.4246,ndcg:0.2413,mrr:0.1855, book: hr:0.3058,ndcg:0.1839,mrr:0.1466
epoch:7, self loss:62373.2089, cross loss:63367.6134, G loss:3205.4463, D loss:10.1418, reg loss:8316.3754
test: movie: hr:0.4263,ndcg:0.2435,mrr:0.1878, book: hr:0.3091,ndcg:0.1850,mrr:0.1470
epoch:8, self loss:62927.9237, cross loss:63986.7578, G loss:3222.9658, D loss:9.2150, reg loss:7801.3844
test: movie: hr:0.4281,ndcg:0.2437,mrr:0.1875, book: hr:0.3086,ndcg:0.1852,mrr:0.1475
epoch:9, self loss:63100.5457, cross loss:64309.6374, G loss:3224.9633, D loss:8.4311, reg loss:7334.3443
test: movie: hr:0.4305,ndcg:0.2469,mrr:0.1909, book: hr:0.3098,ndcg:0.1866,mrr:0.1489
epoch:10, self loss:62714.7690, cross loss:63687.5093, G loss:3191.7702, D loss:8.7047, reg loss:6966.5384
test: movie: hr:0.4290,ndcg:0.2468,mrr:0.1912, book: hr:0.3099,ndcg:0.1856,mrr:0.1476
epoch:11, self loss:62199.9963, cross loss:63269.2292, G loss:3174.9338, D loss:9.0557, reg loss:6600.7247
test: movie: hr:0.4362,ndcg:0.2511,mrr:0.1947, book: hr:0.3120,ndcg:0.1870,mrr:0.1488
epoch:12, self loss:62227.4513, cross loss:62976.6511, G loss:3127.5305, D loss:8.1043, reg loss:6256.6660
test: movie: hr:0.4414,ndcg:0.2554,mrr:0.1986, book: hr:0.3106,ndcg:0.1868,mrr:0.1489
epoch:13, self loss:61712.6728, cross loss:62439.4025, G loss:3184.3454, D loss:7.7625, reg loss:5915.8185
test: movie: hr:0.4414,ndcg:0.2572,mrr:0.2010, book: hr:0.3115,ndcg:0.1873,mrr:0.1493
epoch:14, self loss:61646.2840, cross loss:62360.2694, G loss:3175.1203, D loss:7.8242, reg loss:5652.2345
test: movie: hr:0.4432,ndcg:0.2592,mrr:0.2030, book: hr:0.3143,ndcg:0.1883,mrr:0.1497
epoch:15, self loss:60774.4127, cross loss:61426.6238, G loss:3172.8442, D loss:7.2276, reg loss:5346.2499
test: movie: hr:0.4462,ndcg:0.2610,mrr:0.2044, book: hr:0.3144,ndcg:0.1881,mrr:0.1495
